Population, S1701_C01_001E, Year
Alabama, 4666970, 2010
Alaska, 696822, 2010
Arizona, 6272686, 2010
Arkansas, 2839798, 2010
California, 36593372, 2010
Colorado, 4934178, 2010
Connecticut, 3466977, 2010
Delaware, 874321, 2010
District of Columbia, 570953, 2010
Florida, 18436788, 2010
Georgia, 9446906, 2010
Hawaii, 1326373, 2010
Idaho, 1541860, 2010
Illinois, 12543457, 2010
Indiana, 6294417, 2010
Iowa, 2950251, 2010
Kansas, 2775355, 2010
Kentucky, 4215643, 2010
Louisiana, 4413890, 2010
Maine, 1293012, 2010
Maryland, 5643821, 2010
Massachusetts, 6333611, 2010
Michigan, 9656449, 2010
Minnesota, 5189200, 2010
Mississippi, 2875594, 2010
Missouri, 5817852, 2010
Montana, 964509, 2010
Nebraska, 1776166, 2010
Nevada, 2666662, 2010
New Hampshire, 1276614, 2010
New Jersey, 8626524, 2010
New Mexico, 2024716, 2010
New York, 18879810, 2010
North Carolina, 9304553, 2010
North Dakota, 651415, 2010
Ohio, 11224969, 2010
Oklahoma, 3646849, 2010
Oregon, 3765919, 2010
Pennsylvania, 12298955, 2010
Rhode Island, 1012200, 2010
South Carolina, 4493865, 2010
South Dakota, 788226, 2010
Tennessee, 6195120, 2010
Texas, 24652927, 2010
Utah, 2730176, 2010
Vermont, 600850, 2010
Virginia, 7780635, 2010
Washington, 6615922, 2010
West Virginia, 1799960, 2010
Wisconsin, 5535803, 2010
Wyoming, 551120, 2010
Puerto Rico, 3685731, 2010
Alabama, 4687363, 2011
Alaska, 706860, 2011
Arizona, 6336449, 2011
Arkansas, 2856663, 2011
California, 36941931, 2011
Colorado, 5002128, 2011
Connecticut, 3471802, 2011
Delaware, 882353, 2011
District of Columbia, 584583, 2011
Florida, 18652057, 2011
Georgia, 9550271, 2011
Hawaii, 1338543, 2011
Idaho, 1550082, 2011
Illinois, 12566914, 2011
Indiana, 6318942, 2011
Iowa, 2963602, 2011
Kansas, 2786855, 2011
Kentucky, 4238283, 2011
Louisiana, 4445400, 2011
Maine, 1291650, 2011
Maryland, 5685412, 2011
Massachusetts, 6367148, 2011
Michigan, 9656260, 2011
Minnesota, 5222556, 2011
Mississippi, 2884215, 2011
Missouri, 5831530, 2011
Montana, 974025, 2011
Nebraska, 1789275, 2011
Nevada, 2684536, 2011
New Hampshire, 1279118, 2011
New Jersey, 8646606, 2011
New Mexico, 2042530, 2011
New York, 18954044, 2011
North Carolina, 9406091, 2011
North Dakota, 660473, 2011
Ohio, 11234071, 2011
Oklahoma, 3678924, 2011
Oregon, 3794213, 2011
Pennsylvania, 12328566, 2011
Rhode Island, 1009941, 2011
South Carolina, 4538298, 2011
South Dakota, 794872, 2011
Tennessee, 6246380, 2011
Texas, 25071125, 2011
Utah, 2771344, 2011
Vermont, 601236, 2011
Virginia, 7854282, 2011
Washington, 6687073, 2011
West Virginia, 1802655, 2011
Wisconsin, 5554349, 2011
Wyoming, 554314, 2011
Puerto Rico, 3672090, 2011
Alabama, 4706978, 2012
Alaska, 715608, 2012
Arizona, 6401273, 2012
Arkansas, 2865098, 2012
California, 37303266, 2012
Colorado, 5069071, 2012
Delaware, 890738, 2012
District of Columbia, 598151, 2012
Connecticut, 3484178, 2012
Florida, 18912479, 2012
Georgia, 9652596, 2012
Idaho, 1565511, 2012
Hawaii, 1356822, 2012
Illinois, 12573676, 2012
Indiana, 6342423, 2012
Iowa, 2974225, 2012
Kansas, 2802207, 2012
Kentucky, 4247103, 2012
Louisiana, 4471142, 2012
Maine, 1293457, 2012
Maryland, 5744445, 2012
Massachusetts, 6414762, 2012
Michigan, 9663760, 2012
Minnesota, 5257443, 2012
Mississippi, 2890890, 2012
Missouri, 5838008, 2012
Montana, 980594, 2012
Nebraska, 1800904, 2012
Nevada, 2718565, 2012
New Hampshire, 1280027, 2012
New Jersey, 8691673, 2012
New Mexico, 2044778, 2012
New York, 19064064, 2012
North Carolina, 9498993, 2012
North Dakota, 674852, 2012
Ohio, 11227482, 2012
Oklahoma, 3699653, 2012
Oregon, 3826398, 2012
Pennsylvania, 12353867, 2012
Rhode Island, 1010449, 2012
South Carolina, 4585454, 2012
South Dakota, 804310, 2012
Tennessee, 6295994, 2012
Texas, 25450518, 2012
Vermont, 601611, 2012
Utah, 2806020, 2012
Virginia, 7936903, 2012
Washington, 6761934, 2012
West Virginia, 1801131, 2012
Wisconsin, 5573134, 2012
Wyoming, 561445, 2012
Puerto Rico, 3633892, 2012
Mississippi, 2893768, 2013
Missouri, 5861009, 2013
Montana, 990603, 2013
Nebraska, 1815565, 2013
Nevada, 2750476, 2013
New Hampshire, 1281181, 2013
New Jersey, 8721010, 2013
New Mexico, 2045402, 2013
New York, 19133973, 2013
North Carolina, 9588277, 2013
North Dakota, 698199, 2013
Ohio, 11248753, 2013
Oklahoma, 3735207, 2013
Oregon, 3852871, 2013
Pennsylvania, 12353256, 2013
Rhode Island, 1010827, 2013
South Carolina, 4631801, 2013
South Dakota, 815049, 2013
Tennessee, 6335295, 2013
Texas, 25834229, 2013
Vermont, 602538, 2013
Utah, 2851587, 2013
Virginia, 8010544, 2013
Washington, 6836262, 2013
West Virginia, 1798266, 2013
Wisconsin, 5593197, 2013
Wyoming, 569307, 2013
Puerto Rico, 3581841, 2013
Alabama, 4716105, 2013
Alaska, 718359, 2013
Arizona, 6477191, 2013
Arkansas, 2873340, 2013
California, 37593091, 2013
Colorado, 5151461, 2013
Delaware, 900322, 2013
District of Columbia, 611788, 2013
Connecticut, 3485353, 2013
Florida, 19129950, 2013
Georgia, 9720914, 2013
Idaho, 1582911, 2013
Hawaii, 1367662, 2013
Illinois, 12576680, 2013
Indiana, 6367890, 2013
